# Time-averaged data for fix mNm2
# TimeStep v_ETens v_SZZ v_SXX v_Fx v_Fy v_Fz v_strain v_ETens v_diameter
6300 26.2126 82013.6 51349.9 -9.50286e-16 -6.6744e-18 -4.39181e-16 -3.02461 26.2126 -15.549
6400 26.2158 82582.2 51462 -5.71032e-16 -3.64801e-18 -3.30434e-16 -3.02786 26.2158 -15.574
6500 26.2191 83148.2 51562.5 -5.43352e-16 -2.66856e-18 -3.2178e-16 -3.03112 26.2191 -15.599
6600 26.2223 83710.8 51651.4 -7.41132e-16 -2.553e-18 -5.04607e-16 -3.03437 26.2223 -15.624
6700 26.2256 84269.4 51728.3 -3.30695e-16 -2.37233e-18 -4.38479e-16 -3.03763 26.2256 -15.649
6800 26.2289 84823.2 51793.3 -9.55988e-17 3.99054e-18 -4.729e-16 -3.04088 26.2289 -15.674
6900 26.2321 85371.5 51846.7 -3.96045e-16 4.22857e-18 -4.29679e-16 -3.04414 26.2321 -15.699
7000 26.2354 85913.8 51888.7 -5.41388e-16 -8.65228e-18 -5.26427e-16 -3.04739 26.2354 -15.724
7100 26.2386 86449.6 51919.8 -6.45527e-16 -6.28066e-19 -5.17681e-16 -3.05065 26.2386 -15.749
7200 26.2419 86978.6 51940.5 -9.20646e-16 -1.18523e-17 -5.54089e-16 -3.0539 26.2419 -15.774
7300 26.2451 87500.9 51951.5 -7.24732e-16 2.57004e-18 -6.95311e-16 -3.05716 26.2451 -15.799
7400 26.2484 88016.4 51953.5 -9.68342e-16 5.21298e-18 -7.08207e-16 -3.06041 26.2484 -15.824
7500 26.2516 88525.4 51947.4 -9.09026e-16 -7.96448e-19 -5.91711e-16 -3.06367 26.2516 -15.849
7600 26.2549 89028.3 51934 -6.55407e-16 2.52526e-18 -5.00987e-16 -3.06692 26.2549 -15.874
7700 26.2582 89525.6 51914.2 -7.73865e-16 1.07127e-17 -5.51702e-16 -3.07018 26.2582 -15.899
7800 26.2614 90017.9 51888.9 -3.77623e-16 -5.66309e-18 -3.88648e-16 -3.07343 26.2614 -15.924
7900 26.2647 90506.1 51858.9 1.68384e-16 -1.80091e-18 -2.99034e-16 -3.07669 26.2647 -15.949
8000 26.2679 90990.8 51825.1 4.51473e-16 4.02725e-18 -3.52893e-16 -3.07994 26.2679 -15.974
8100 26.2712 91472.8 51788.3 5.53282e-16 -3.7677e-18 -2.00337e-16 -3.0832 26.2712 -15.999
8200 26.2744 91953.2 51749.1 1.1393e-15 3.56059e-18 -1.91911e-16 -3.08646 26.2744 -16.024
8300 26.2777 92432.5 51708.3 1.48059e-15 5.37087e-19 -2.5105e-17 -3.08971 26.2777 -16.049
8400 26.2809 92911.5 51666.2 1.60493e-15 5.99269e-18 1.79729e-16 -3.09297 26.2809 -16.074
8500 26.2842 93390.8 51623.3 1.44512e-15 -3.32291e-18 2.15298e-16 -3.09622 26.2842 -16.099
8600 26.2875 93871.1 51579.9 1.71597e-15 2.43386e-18 3.07386e-16 -3.09948 26.2875 -16.124
8700 26.2907 94352.6 51536.3 1.66686e-15 -6.78606e-18 4.02116e-16 -3.10273 26.2907 -16.149
8800 26.294 94835.6 51492.5 1.19194e-15 3.06558e-19 3.47471e-16 -3.10599 26.294 -16.174
8900 26.2972 95320.3 51448.6 1.17756e-15 -5.49189e-18 6.11672e-16 -3.10924 26.2972 -16.199
9000 26.3005 95806.7 51404.4 1.1179e-15 2.40219e-19 6.69126e-16 -3.1125 26.3005 -16.224
9100 26.3037 96294.6 51359.9 1.49196e-15 8.42927e-18 4.80622e-16 -3.11575 26.3037 -16.249
9200 26.307 96783.7 51314.6 1.60522e-15 6.10365e-18 4.99738e-16 -3.11901 26.307 -16.274
9300 26.3102 97273.6 51268.4 1.56891e-15 -6.66703e-18 5.43972e-16 -3.12226 26.3102 -16.299
9400 26.3135 97763.9 51220.9 1.23338e-15 8.31312e-19 5.33655e-16 -3.12552 26.3135 -16.324
9500 26.3167 98254.1 51171.8 1.60842e-15 4.67725e-18 4.47995e-16 -3.12877 26.3167 -16.349
9600 26.32 98743.4 51120.5 1.73197e-15 -2.69567e-18 4.85263e-16 -3.13203 26.32 -16.374
9700 26.3233 99231.4 51066.8 1.7691e-15 9.90276e-18 4.84624e-16 -3.13528 26.3233 -16.399
9800 26.3265 99717.4 51010.1 1.71285e-15 8.01225e-19 7.11194e-16 -3.13854 26.3265 -16.424
9900 26.3298 100201 50950.2 1.92585e-15 -1.79164e-19 8.7559e-16 -3.14179 26.3298 -16.449
10000 26.333 100681 50886.5 1.93607e-15 -2.29878e-18 8.68685e-16 -3.14505 26.333 -16.474
10100 26.3363 101157 50818.9 2.07443e-15 8.40243e-18 7.27788e-16 -3.1483 26.3363 -16.499
10200 26.3395 101630 50746.9 2.17936e-15 9.32685e-19 6.44291e-16 -3.15156 26.3395 -16.524
10300 26.3428 102097 50670.4 2.72813e-15 -1.71087e-18 7.54881e-16 -3.15481 26.3428 -16.549
10400 26.346 102560 50589 2.85692e-15 7.16929e-20 6.43266e-16 -3.15807 26.346 -16.574
10500 26.3493 103018 50502.6 3.04627e-15 -1.08797e-17 7.28592e-16 -3.16133 26.3493 -16.599
10600 26.3526 103471 50411 3.20345e-15 -3.95273e-18 7.62404e-16 -3.16458 26.3526 -16.624
10700 26.3558 103918 50314.2 2.99025e-15 7.60121e-18 7.49652e-16 -3.16784 26.3558 -16.649
10800 26.3591 104360 50212 2.94165e-15 -1.07119e-18 6.73609e-16 -3.17109 26.3591 -16.674
10900 26.3623 104797 50104.5 3.17816e-15 -1.19406e-17 7.17151e-16 -3.17435 26.3623 -16.699
11000 26.3656 105229 49991.6 3.36969e-15 6.04389e-18 1.01055e-15 -3.1776 26.3656 -16.724
11100 26.3688 105655 49873.4 3.42548e-15 -8.30797e-18 1.13508e-15 -3.18086 26.3688 -16.749
11200 26.3721 106077 49749.8 2.94808e-15 -3.71556e-18 1.02522e-15 -3.18411 26.3721 -16.774
11300 26.3753 106494 49621 3.07594e-15 -1.77023e-18 1.05961e-15 -3.18737 26.3753 -16.799
11400 26.3786 106905 49487.1 3.05838e-15 8.30228e-19 1.06162e-15 -3.19062 26.3786 -16.824
11500 26.3819 107312 49348 3.56464e-15 -5.08247e-18 1.255e-15 -3.19388 26.3819 -16.849
11600 26.3851 107714 49203.9 3.136e-15 -7.95994e-18 1.39283e-15 -3.19713 26.3851 -16.874
11700 26.3884 108110 49054.8 3.15813e-15 -4.66966e-18 1.41954e-15 -3.20039 26.3884 -16.899
11800 26.3916 108501 48900.9 3.14731e-15 -8.57333e-19 1.47554e-15 -3.20364 26.3916 -16.924
11900 26.3949 108886 48742.2 2.85571e-15 -9.80471e-18 1.56916e-15 -3.2069 26.3949 -16.949
12000 26.3981 109265 48578.7 2.788e-15 -8.10143e-18 1.65906e-15 -3.21015 26.3981 -16.974
12100 26.4014 109637 48410.5 2.65407e-15 -3.58519e-18 1.7207e-15 -3.21341 26.4014 -16.999
12200 26.4046 110002 48237.7 2.31217e-15 -5.79127e-18 1.91293e-15 -3.21666 26.4046 -17.024
12300 26.4079 110359 48060.1 2.54904e-15 1.85922e-17 2.11523e-15 -3.21992 26.4079 -17.049
12400 26.4111 110707 47877.9 1.98952e-15 -7.90465e-18 2.09724e-15 -3.22317 26.4111 -17.074
12500 26.4144 111046 47691.1 2.09447e-15 7.80517e-18 2.08298e-15 -3.22643 26.4144 -17.099
12600 26.4177 111376 47499.5 2.09089e-15 -8.19115e-19 2.03002e-15 -3.22968 26.4177 -17.124
12700 26.4209 111694 47303.2 1.243e-15 1.16118e-18 1.90993e-15 -3.23294 26.4209 -17.149
12800 26.4242 112001 47102.1 8.70846e-16 -3.17021e-18 1.83862e-15 -3.23619 26.4242 -17.174
12900 26.4274 112296 46896.1 1.69511e-16 3.81531e-18 1.90071e-15 -3.23945 26.4274 -17.199
13000 26.4307 112579 46685.2 -8.29617e-16 5.61725e-18 1.63256e-15 -3.24271 26.4307 -17.224
13100 26.4339 112848 46469.3 -8.85458e-16 -1.1254e-18 1.55719e-15 -3.24596 26.4339 -17.249
13200 26.4372 113104 46248.4 -1.10301e-15 1.6366e-18 1.44202e-15 -3.24922 26.4372 -17.274
13300 26.4404 113346 46022.3 -1.2626e-15 -2.03451e-18 1.35926e-15 -3.25247 26.4404 -17.299
13400 26.4437 113573 45791 -1.34942e-15 -9.44882e-18 1.49702e-15 -3.25573 26.4437 -17.324
13500 26.447 113786 45554.4 -2.04432e-15 -3.54805e-18 1.43672e-15 -3.25898 26.447 -17.349
13600 26.4502 113985 45312.6 -2.21789e-15 -3.75026e-18 1.26727e-15 -3.26224 26.4502 -17.374
13700 26.4535 114170 45065.4 -3.01684e-15 6.38053e-19 1.46448e-15 -3.26549 26.4535 -17.399
13800 26.4567 114341 44812.9 -2.71249e-15 1.99493e-18 1.53853e-15 -3.26875 26.4567 -17.424
13900 26.46 114498 44555 -3.00129e-15 -3.82832e-18 1.39132e-15 -3.272 26.46 -17.449
14000 26.4632 114643 44291.8 -3.47589e-15 5.21339e-18 1.54447e-15 -3.27526 26.4632 -17.474
14100 26.4665 114774 44023.4 -3.29265e-15 6.87655e-18 1.32636e-15 -3.27851 26.4665 -17.499
14200 26.4697 114894 43749.7 -3.54171e-15 5.14454e-18 1.02433e-15 -3.28177 26.4697 -17.524
14300 26.473 115003 43471.1 -3.55078e-15 6.81692e-19 9.37731e-16 -3.28502 26.473 -17.549
14400 26.4763 115101 43187.4 -3.13324e-15 -3.88795e-18 1.14596e-15 -3.28828 26.4763 -17.574
14500 26.4795 115188 42899 -3.70302e-15 -3.04092e-18 1.32003e-15 -3.29153 26.4795 -17.599
14600 26.4828 115267 42606.1 -3.96593e-15 -1.47208e-18 1.25061e-15 -3.29479 26.4828 -17.624
14700 26.486 115337 42308.8 -3.94872e-15 3.94731e-18 9.90184e-16 -3.29804 26.486 -17.649
14800 26.4893 115400 42007.5 -4.49925e-15 2.59666e-19 6.0789e-16 -3.3013 26.4893 -17.674
14900 26.4925 115455 41702.4 -4.57777e-15 1.49113e-17 7.1504e-16 -3.30455 26.4925 -17.699
15000 26.4958 115503 41393.8 -5.18499e-15 -5.82271e-18 8.78308e-16 -3.30781 26.4958 -17.724
15100 26.499 115545 41082 -5.16848e-15 -4.42761e-18 8.3667e-16 -3.31106 26.499 -17.749
15200 26.5023 115581 40767.5 -5.18267e-15 -1.21051e-18 7.95679e-16 -3.31432 26.5023 -17.774
15300 26.5056 115611 40450.6 -4.91833e-15 -3.17929e-18 7.49591e-16 -3.31758 26.5056 -17.799
15400 26.5088 115636 40131.6 -4.60513e-15 1.35661e-19 6.53882e-16 -3.32083 26.5088 -17.824
